20000,1,Ceston,1
20001,2,Ceston,1
20002,3,Ceston,1
20003,4,Ceston,1
20004,5,Ceston,1
20005,6,Ceston,1
20006,7,Ceston,1
20007,8,Ceston,1
20008,9,Ceston,1
20009,10,Ceston,1
20010,11,Ceston,1
20011,12,Ceston,1
20012,13,Ceston,1
20013,14,Ceston,1
20014,15,Ceston,1
20015,16,Ceston,1
20016,17,Ceston,1
20017,18,Ceston,1
20018,19,Ceston,1
20019,20,Ceston,1
20020,21,Ceston,1
20021,22,Ceston,1
20022,23,Ceston,1
20023,24,Ceston,1
20024,25,Ceston,1
20025,26,Ceston,1
20026,27,Ceston,1
20027,28,Ceston,1
20028,29,Ceston,1
20029,30,Ceston,1
20030,31,Ceston,1
20031,32,Ceston,1
20032,33,Ceston,1
20033,34,Ceston,1
20034,35,Ceston,1
20035,36,Ceston,1
20036,37,Ceston,1
20037,38,Ceston,1
20038,39,Ceston,1
20039,40,Ceston,1
20040,41,Ceston,1
20041,42,Ceston,1
20042,43,Ceston,1
20043,44,Ceston,1
20044,45,Ceston,1
20045,46,Ceston,1
20046,47,Ceston,1
20047,48,Ceston,1
20048,49,Ceston,1
20049,50,Ceston,1
20050,51,Ceston,1
20051,52,Ceston,1
20052,53,Ceston,1
20053,54,Ceston,1
20054,55,Ceston,1
20055,56,Ceston,1
20056,57,Ceston,1
20057,58,Ceston,1
20058,59,Ceston,1
20059,60,Ceston,1
20060,61,Ceston,1
20061,62,Ceston,1
20062,63,Ceston,1
20063,64,Ceston,1
20064,65,Ceston,1
20065,66,Ceston,1
20066,67,Ceston,1
20067,68,Ceston,1
20068,69,Ceston,1
20069,70,Ceston,1
20070,71,Ceston,1
20071,72,Ceston,1
20072,73,Ceston,1
20073,74,Ceston,1
20074,75,Ceston,1
20075,76,Ceston,1
20076,77,Ceston,1
20077,78,Ceston,1
20078,79,Ceston,1
20079,80,Ceston,1
20080,81,Ceston,1
20081,82,Ceston,1
20082,83,Ceston,1
20083,84,Ceston,1
20084,85,Ceston,1
20085,86,Ceston,1
20086,87,Ceston,1
20087,88,Ceston,1
20088,89,Ceston,1
20089,90,Ceston,1
20090,91,Ceston,1
20091,92,Ceston,1
20092,93,Ceston,1
20093,94,Ceston,1
20094,95,Ceston,1
20095,96,Ceston,1
20096,97,Ceston,1
20097,98,Ceston,1
20098,99,Ceston,1
20099,100,Ceston,1
20100,101,Ceston,1
20101,102,Ceston,1
20102,103,Ceston,1
20103,104,Ceston,1
20104,105,Ceston,1
20105,106,Ceston,1
20106,107,Ceston,1
20107,108,Ceston,1
20108,109,Ceston,1
20109,110,Ceston,1
20110,111,Ceston,1
20111,112,Ceston,1
20112,113,Ceston,1
20113,114,Ceston,1
20114,115,Ceston,1
20115,116,Ceston,1
20116,117,Ceston,1
20117,118,Ceston,1
20118,119,Ceston,1
20119,120,Ceston,1
20120,121,Ceston,1
20121,122,Ceston,1
20122,123,Ceston,1
20123,124,Ceston,1
20124,125,Ceston,1
20125,126,Ceston,1
20126,127,Ceston,1
20127,128,Ceston,1
20128,129,Ceston,1
20129,130,Ceston,1
20130,131,Ceston,1
20131,132,Ceston,1
20132,133,Ceston,1
20133,134,Ceston,1
20134,135,Ceston,1
20135,136,Ceston,1
20136,137,Ceston,1
20137,138,Ceston,1
20138,139,Ceston,1
20139,140,Ceston,1
20140,141,Ceston,1
20141,142,Ceston,1
20142,143,Ceston,1
20143,144,Ceston,1
20144,145,Ceston,1
20145,146,Ceston,1
20146,147,Ceston,1
20147,148,Ceston,1
20148,149,Ceston,1
20149,150,Ceston,1
20150,151,Ceston,1
20151,152,Ceston,1
20152,153,Ceston,1
20153,154,Ceston,1
20154,155,Ceston,1
20155,156,Ceston,1
20156,157,Ceston,1
20157,158,Ceston,1
20158,159,Ceston,1
20159,160,Ceston,1
20160,161,Ceston,1
20161,162,Ceston,1
20162,163,Ceston,1
20163,164,Ceston,1
20164,165,Ceston,1
20165,166,Ceston,1
