2017-1-1,41
2017-2-1,467
2017-3-1,334
2017-4-1,500
2017-5-1,1169
2017-6-1,1724
2017-7-1,1478
2017-8-1,1358
2017-9-1,962
2017-10-1,464
2017-11-1,1705
2017-12-1,145
2017-1-2,1281
2017-2-2,827
2017-3-2,1961
2017-4-2,491
2017-5-2,995
2017-6-2,1942
2017-7-2,827
2017-8-2,1436
2017-9-2,391
2017-10-2,604
2017-11-2,1902
2017-12-2,153
2017-1-3,292
2017-2-3,382
2017-3-3,1421
2017-4-3,716
2017-5-3,1718
2017-6-3,1895
2017-7-3,1447
2017-8-3,1726
2017-9-3,771
2017-10-3,1538
2017-11-3,1869
2017-12-3,1912
2017-1-4,1667
2017-2-4,299
2017-3-4,1035
2017-4-4,1894
2017-5-4,703
2017-6-4,1811
2017-7-4,1322
2017-8-4,333
2017-9-4,1673
2017-10-4,664
2017-11-4,1141
2017-12-4,1711
2017-1-5,253
2017-2-5,868
2017-3-5,1547
2017-4-5,1644
2017-5-5,662
2017-6-5,757
2017-7-5,37
2017-8-5,859
2017-9-5,723
2017-10-5,1741
2017-11-5,1529
2017-12-5,778
2017-1-6,316
2017-2-6,1035
2017-3-6,190
2017-4-6,1842
2017-5-6,288
2017-6-6,106
2017-7-6,1040
2017-8-6,942
2017-9-6,1264
2017-10-6,648
2017-11-6,1446
2017-12-6,1805
2017-1-7,1890
2017-2-7,729
2017-3-7,370
2017-4-7,1350
2017-5-7,1006
2017-6-7,1101
2017-7-7,393
2017-8-7,1548
2017-9-7,1629
2017-10-7,623
2017-11-7,84
2017-12-7,1954
2017-1-8,756
2017-2-8,1840
2017-3-8,966
2017-4-8,1376
2017-5-8,1931
2017-6-8,308
2017-7-8,944
2017-8-8,439
2017-9-8,626
2017-10-8,1323
2017-11-8,1537
2017-12-8,1538
2017-1-9,118
2017-2-9,82
2017-3-9,929
2017-4-9,541
2017-5-9,833
2017-6-9,1115
2017-7-9,639
2017-8-9,1658
2017-9-9,704
2017-10-9,1930
2017-11-9,1977
2017-12-9,306
2017-1-10,1673
2017-2-10,386
2017-3-10,1021
2017-4-10,745
2017-5-10,924
2017-6-10,1072
2017-7-10,270
2017-8-10,1829
2017-9-10,777
2017-10-10,1573
2017-11-10,1097
2017-12-10,512
2017-1-11,1986
2017-2-11,1290
2017-3-11,1161
2017-4-11,636
2017-5-11,355
2017-6-11,767
2017-7-11,1655
2017-8-11,1574
2017-9-11,31
2017-10-11,52
2017-11-11,1350
2017-12-11,1150
2017-1-12,941
2017-2-12,1724
2017-3-12,1966
2017-4-12,1430
2017-5-12,1107
2017-6-12,191
2017-7-12,7
2017-8-12,1337
2017-9-12,1457
2017-10-12,287
2017-11-12,1753
2017-12-12,383
2017-1-13,945
2017-2-13,909
2017-3-13,209
2017-4-13,1758
2017-5-13,221
2017-6-13,588
2017-7-13,422
2017-8-13,946
2017-9-13,1506
2017-10-13,1030
2017-11-13,413
2017-12-13,1168
2017-1-14,900
2017-2-14,591
2017-3-14,762
2017-4-14,1655
2017-5-14,1410
2017-6-14,359
2017-7-14,1624
2017-8-14,537
2017-9-14,1548
2017-10-14,483
2017-11-14,1595
2017-12-14,41
2017-1-15,1602
2017-2-15,350
2017-3-15,291
2017-4-15,836
2017-5-15,1374
2017-6-15,1020
2017-7-15,596
2017-8-15,21
2017-9-15,1348
2017-10-15,1199
2017-11-15,1668
2017-12-15,484
2017-1-16,281
2017-2-16,734
2017-3-16,53
2017-4-16,1999
2017-5-16,418
2017-6-16,1938
2017-7-16,900
2017-8-16,1788
2017-9-16,127
2017-10-16,467
2017-11-16,1728
2017-12-16,893
2017-1-17,648
2017-2-17,483
2017-3-17,1807
2017-4-17,421
2017-5-17,310
2017-6-17,617
2017-7-17,813
2017-8-17,1514
2017-9-17,309
2017-10-17,1616
2017-11-17,935
2017-12-17,1451
2017-1-18,600
2017-2-18,1249
2017-3-18,519
2017-4-18,1556
2017-5-18,798
2017-6-18,303
2017-7-18,224
2017-8-18,1008
2017-9-18,1844
2017-10-18,609
2017-11-18,989
2017-12-18,702
2017-1-19,1195
2017-2-19,485
2017-3-19,1093
2017-4-19,343
2017-5-19,523
2017-6-19,1587
2017-7-19,1314
2017-8-19,1503
2017-9-19,1448
2017-10-19,1200
2017-11-19,1458
2017-12-19,618
2017-1-20,580
2017-2-20,1796
2017-3-20,798
2017-4-20,1281
2017-5-20,1589
2017-6-20,798
2017-7-20,9
2017-8-20,1157
2017-9-20,472
2017-10-20,1622
2017-11-20,538
