oadgH,10011,4,M,V27,21
Begtm,10012,2,M,V16,19
rUKIm,10013,2,M,V24,19
zYbZn,10014,3,M,V20,20
IHgKa,10015,3,M,V27,20
jQSWV,10016,3,M,V20,20
DqZfE,10017,1,M,V25,18
elUWu,10018,3,M,V18,20
ItCSz,10019,2,M,V20,19
QTtMq,10020,1,M,V15,18
hZlLP,10021,1,M,V25,18
EyANo,10022,1,M,V15,18
DCjyF,10023,2,M,V20,19
kVxVg,10024,1,M,V25,18
CNVMI,10025,2,M,V16,19
ToFJK,10026,2,M,V26,19
PpMGC,10027,3,M,V21,20
QSIaM,10028,4,M,V25,21
muViQ,10029,2,M,V18,19
fPytY,10030,1,M,V17,18
pZORh,10031,3,M,V21,20
nujYH,10032,1,M,V20,18
QxCic,10033,2,M,V26,19
pQycc,10034,3,M,V24,20
JhRyW,10035,2,M,V18,19
KqeLx,10036,3,M,V16,20
ojWdu,10037,4,M,V25,21
Ycpcd,10038,2,M,V25,19
AlxuA,10039,4,M,V19,21
MbMtf,10040,3,M,V17,20
HwMzO,10041,4,M,V16,21
INaEu,10042,4,M,V27,21
Njqsu,10043,4,M,V26,21
QdiaF,10044,4,M,V28,21
TuWwC,10045,2,M,V17,19
CNsiO,10046,3,M,V22,20
njTPd,10047,2,M,V22,19
dqDRL,10048,4,M,V22,21
xtMLR,10049,2,M,V18,19
avEUh,10050,3,M,V17,20
NTzPD,10051,2,M,V20,19
CYARY,10052,1,M,V15,18
jgjib,10053,2,M,V15,19
qoNgs,10054,3,M,V17,20
ZAFBB,10055,3,M,V18,20
LNeUT,10056,3,M,V25,20
bOVby,10057,4,M,V18,21
QWjQW,10058,1,M,V19,18
rypeF,10059,3,M,V21,20
bsfwL,10060,2,M,V26,19
qNOZE,10061,1,M,V15,18
VWGAE,10062,3,M,V15,20
cCnlw,10063,3,M,V19,20
OYlHy,10064,1,M,V17,18
GevhL,10065,2,M,V27,19
eYcWK,10066,1,M,V16,18
NAMOf,10067,2,M,V28,19
AxISU,10068,2,M,V15,19
JZQVC,10069,2,M,V20,19
UXBje,10070,4,M,V23,21
WQqjK,10071,3,M,V22,20
aFuLt,10072,4,M,V19,21
bcsNR,10073,3,M,V22,20
szJJy,10074,4,M,V28,21
dXQnj,10075,3,M,V19,20
jKYKG,10076,3,M,V22,20
xsVjg,10077,3,M,V28,20
VjbDP,10078,1,M,V24,18
WhmrO,10079,3,M,V26,20
SgGYd,10080,1,M,V18,18
AzRZt,10081,2,M,V22,19
UQHKQ,10082,3,M,V20,20
bRZEz,10083,4,M,V18,21
rHsgu,10084,3,M,V17,20
emNHP,10085,3,M,V17,20
BxgBk,10086,4,M,V21,21
odwOn,10087,1,M,V23,18
KVBsJ,10088,1,M,V25,18
RoRTN,10089,1,M,V17,18
KFVme,10090,1,M,V19,18
LEdff,10091,2,M,V17,19
ZbAfN,10092,3,M,V23,20
UColb,10093,1,M,V26,18
QWGbz,10094,4,M,V17,21
XVmXx,10095,2,M,V18,19
osXxQ,10096,1,M,V15,18
jNcyS,10097,2,M,V19,19
nFRFi,10098,2,M,V26,19
ZFsPT,10099,1,M,V15,18
INXPq,10100,4,M,V28,21
NUWeB,10101,3,M,V15,20
NXzCn,10102,3,M,V20,20
KsBzq,10103,1,M,V15,18
YbTry,10104,1,M,V18,18
jNsCm,10105,2,M,V17,19
DdLuj,10106,3,M,V15,20
Lwdmd,10107,2,M,V28,19
GkAAj,10108,3,M,V20,20
NsTFJ,10109,1,M,V18,18
FWyMx,10110,1,M,V22,18
NtPKv,10111,3,M,V20,20
sqZWa,10112,1,M,V16,18
kLVvA,10113,4,M,V26,21
KCgRZ,10114,1,M,V26,18
RVhCe,10115,4,M,V23,21
UTlFx,10116,4,M,V23,21
wLQYw,10117,4,M,V27,21
cXXOA,10118,1,M,V19,18
jLIcS,10119,2,M,V18,19
ubTSz,10120,2,M,V22,19
hPWOC,10121,4,M,V17,21
ZDfja,10122,2,M,V18,19
teMaW,10123,4,M,V22,21
OPTRq,10124,1,M,V24,18
DvJYb,10125,4,M,V19,21
AupqO,10126,1,M,V24,18
gYJcL,10127,1,M,V18,18
hIBFV,10128,3,M,V23,20
akQzf,10129,4,M,V28,21
aTJSn,10130,4,M,V23,21
KzaTy,10131,4,M,V26,21
gvXEO,10132,2,M,V26,19
KaiKh,10133,1,M,V28,18
KANsj,10134,3,M,V15,20
mtWjH,10135,1,M,V19,18
vZDHd,10136,4,M,V25,21
zXKWD,10137,3,M,V15,20
pXgFe,10138,3,M,V23,20
kdRgR,10139,1,M,V22,18
CGlUg,10140,3,M,V24,20
wVwXr,10141,4,M,V24,21
tmMAv,10142,3,M,V21,20
wRjrR,10143,4,M,V21,21
EUSYq,10144,1,M,V26,18
BKQtL,10145,4,M,V18,21
JbrWZ,10146,4,M,V24,21
SSHwn,10147,2,M,V17,19
DreSc,10148,4,M,V23,21
HiMip,10149,2,M,V21,19
SOCyW,10150,3,M,V15,20
nrRRN,10151,4,M,V18,21
DtDil,10152,2,M,V22,19
TCyyf,10153,4,M,V15,21
APUWo,10154,1,M,V16,18
IGYMy,10155,2,M,V17,19
GHbIc,10156,1,M,V21,18
oDbRW,10157,4,M,V25,21
rCZwT,10158,3,M,V16,20
IUFNv,10159,3,M,V28,20
NmLGp,10160,4,M,V17,21
wgwjA,10161,1,M,V20,18
OFVVq,10162,2,M,V19,19
RnwAr,10163,3,M,V20,20
gPtRu,10164,1,M,V27,18
npjbS,10165,4,M,V21,21
GDrSi,10166,1,M,V18,18
boAKa,10167,3,M,V18,20
piAJx,10168,1,M,V19,18
GVnjO,10169,3,M,V15,20
ERMAY,10170,2,M,V18,19
AFqnt,10171,4,M,V20,21
waLwk,10172,1,M,V16,18
hMCLg,10173,2,M,V22,19
LYcmf,10174,3,M,V16,20
CCWFh,10175,1,M,V23,18
iFjHd,10176,1,M,V23,18
TocSx,10177,3,M,V17,20
yDSYl,10178,2,M,V20,19
orxui,10179,2,M,V23,19
Hzltt,10180,3,M,V18,20
aeNiK,10181,1,M,V17,18
MwomR,10182,2,M,V15,19
WBZrA,10183,3,M,V26,20
hYjTK,10184,3,M,V18,20
mRLaH,10185,2,M,V27,19
ItVsW,10186,4,M,V25,21
grZXG,10187,3,M,V25,20
ONhQX,10188,4,M,V20,21
PpFth,10189,2,M,V20,19
yaDoe,10190,4,M,V25,21
hUMvT,10191,3,M,V20,20
eLajt,10192,3,M,V25,20
vWEIU,10193,3,M,V23,20
emqWx,10194,1,M,V27,18
NxOUQ,10195,1,M,V28,18
XfkPE,10196,2,M,V17,19
OXSkJ,10197,2,M,V21,19
STQmY,10198,4,M,V28,21
Qdglp,10199,1,M,V16,18
olACO,10200,2,M,V28,19
WzgLq,10201,4,M,V19,21
Ajmzb,10202,1,M,V24,18
HyczZ,10203,3,M,V25,20
boGpU,10204,1,M,V26,18
IbaaJ,10205,2,M,V26,19
dJOUl,10206,4,M,V21,21
gxuOK,10207,1,M,V28,18
zmBBc,10208,4,M,V21,21
EHYdA,10209,3,M,V20,20
XAZDz,10210,2,M,V27,19
qMDkj,10211,2,M,V24,19
vthxl,10212,1,M,V26,18
vVOqt,10213,1,M,V20,18
NrViA,10214,4,M,V17,21
XbJLD,10215,4,M,V22,21
DdjWy,10216,4,M,V20,21
HWqln,10217,2,M,V21,19
FgwTL,10218,3,M,V17,20
PjTqf,10219,1,M,V19,18
XhzJc,10220,1,M,V23,18
MXnta,10221,3,M,V26,20
