10011,Ceston,oadgH,2
10012,Ceston,Begtm,8
10013,Ceston,rUKIm,15
10014,Ceston,zYbZn,1
10015,Ceston,IHgKa,10
10016,Ceston,jQSWV,5
10017,Ceston,DqZfE,19
10018,Ceston,elUWu,19
10019,Ceston,ItCSz,3
10020,Ceston,QTtMq,5
10021,Ceston,hZlLP,6
10022,Ceston,EyANo,6
10023,Ceston,DCjyF,2
10024,Ceston,kVxVg,8
10025,Ceston,CNVMI,2
10026,Ceston,ToFJK,12
10027,Ceston,PpMGC,16
10028,Ceston,QSIaM,3
10029,Ceston,muViQ,8
10030,Ceston,fPytY,17
10031,Ceston,pZORh,12
10032,Ceston,nujYH,5
10033,Ceston,QxCic,3
10034,Ceston,pQycc,14
10035,Ceston,JhRyW,13
10036,Ceston,KqeLx,3
10037,Ceston,ojWdu,2
10038,Ceston,Ycpcd,17
10039,Ceston,AlxuA,19
10040,Ceston,MbMtf,16
10041,Ceston,HwMzO,8
10042,Ceston,INaEu,7
10043,Ceston,Njqsu,12
10044,Ceston,QdiaF,19
10045,Ceston,TuWwC,10
10046,Ceston,CNsiO,13
10047,Ceston,njTPd,8
10048,Ceston,dqDRL,20
10049,Ceston,xtMLR,16
10050,Ceston,avEUh,15
10051,Ceston,NTzPD,4
10052,Ceston,CYARY,12
10053,Ceston,jgjib,3
10054,Ceston,qoNgs,14
10055,Ceston,ZAFBB,14
10056,Ceston,LNeUT,5
10057,Ceston,bOVby,2
10058,Ceston,QWjQW,12
10059,Ceston,rypeF,14
10060,Ceston,bsfwL,9
10061,Ceston,qNOZE,8
10062,Ceston,VWGAE,5
10063,Ceston,cCnlw,3
10064,Ceston,OYlHy,18
10065,Ceston,GevhL,18
10066,Ceston,eYcWK,20
10067,Ceston,NAMOf,4
10068,Ceston,AxISU,2
10069,Ceston,JZQVC,10
10070,Ceston,UXBje,19
10071,Ceston,WQqjK,17
10072,Ceston,aFuLt,16
10073,Ceston,bcsNR,11
10074,Ceston,szJJy,3
10075,Ceston,dXQnj,9
10076,Ceston,jKYKG,7
10077,Ceston,xsVjg,1
10078,Ceston,VjbDP,3
10079,Ceston,WhmrO,5
10080,Ceston,SgGYd,9
10081,Ceston,AzRZt,7
10082,Ceston,UQHKQ,6
10083,Ceston,bRZEz,11
10084,Ceston,rHsgu,10
10085,Ceston,emNHP,11
10086,Ceston,BxgBk,11
10087,Ceston,odwOn,7
